"Ukazatel","Typ údaje","Území","CZ-COICOP","Měsíce","Hodnota"
"Harmonizovaný index spotřebitelských cen (HICP)","Bazický index (2015 = 100)","Česko","Úhrn","leden 2000","73"
"Harmonizovaný index spotřebitelských cen (HICP)","Bazický index (2015 = 100)","Česko","Úhrn","únor 2000","73.1"
"Harmonizovaný index spotřebitelských cen (HICP)","Bazický index (2015 = 100)","Česko","Úhrn","březen 2000","73.1"
"Harmonizovaný index spotřebitelských cen (HICP)","Bazický index (2015 = 100)","Česko","Úhrn","duben 2000","73"
"Harmonizovaný index spotřebitelských cen (HICP)","Bazický index (2015 = 100)","Česko","Úhrn","květen 2000","73.2"
"Harmonizovaný index spotřebitelských cen (HICP)","Bazický index (2015 = 100)","Česko","Úhrn","červen 2000","73.7"
"Harmonizovaný index spotřebitelských cen (HICP)","Bazický index (2015 = 100)","Česko","Úhrn","červenec 2000","74.3"
"Harmonizovaný index spotřebitelských cen (HICP)","Bazický index (2015 = 100)","Česko","Úhrn","srpen 2000","74.4"
"Harmonizovaný index spotřebitelských cen (HICP)","Bazický index (2015 = 100)","Česko","Úhrn","září 2000","74.2"
"Harmonizovaný index spotřebitelských cen (HICP)","Bazický index (2015 = 100)","Česko","Úhrn","říjen 2000","74.4"
"Harmonizovaný index spotřebitelských cen (HICP)","Bazický index (2015 = 100)","Česko","Úhrn","listopad 2000","74.5"
"Harmonizovaný index spotřebitelských cen (HICP)","Bazický index (2015 = 100)","Česko","Úhrn","prosinec 2000","74.6"
"Harmonizovaný index spotřebitelských cen (HICP)","Bazický index (2015 = 100)","Česko","Úhrn","leden 2001","76"
"Harmonizovaný index spotřebitelských cen (HICP)","Bazický index (2015 = 100)","Česko","Úhrn","únor 2001","76"
"Harmonizovaný index spotřebitelských cen (HICP)","Bazický index (2015 = 100)","Česko","Úhrn","březen 2001","76.1"
"Harmonizovaný index spotřebitelských cen (HICP)","Bazický index (2015 = 100)","Česko","Úhrn","duben 2001","76.4"
"Harmonizovaný index spotřebitelských cen (HICP)","Bazický index (2015 = 100)","Česko","Úhrn","květen 2001","76.9"
"Harmonizovaný index spotřebitelských cen (HICP)","Bazický index (2015 = 100)","Česko","Úhrn","červen 2001","77.6"
"Harmonizovaný index spotřebitelských cen (HICP)","Bazický index (2015 = 100)","Česko","Úhrn","červenec 2001","78.3"
"Harmonizovaný index spotřebitelských cen (HICP)","Bazický index (2015 = 100)","Česko","Úhrn","srpen 2001","78.2"
"Harmonizovaný index spotřebitelských cen (HICP)","Bazický index (2015 = 100)","Česko","Úhrn","září 2001","77.6"
