DATAFLOW,LAST UPDATE,freq,s_adj,nace_r2,sizeclas,indic_em,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2005-Q1,,,C
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2005-Q2,,,C
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2005-Q3,,,C
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2005-Q4,,,C
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2006-Q1,,,C
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2006-Q2,,,C
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2006-Q3,,,C
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2006-Q4,,,C
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2007-Q1,,,C
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2007-Q2,,,C
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2007-Q3,,,C
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2007-Q4,,,C
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2008-Q1,138903,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2008-Q2,144796,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2008-Q3,143416,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2008-Q4,113204,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2009-Q1,67052,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2009-Q2,47257,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2009-Q3,39574,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2009-Q4,32695,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2010-Q1,32293,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2010-Q2,32422,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2010-Q3,34031,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2010-Q4,32367,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2011-Q1,31927,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2011-Q2,36308,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2011-Q3,38626,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2011-Q4,37096,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2012-Q1,35233,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2012-Q2,40913,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2012-Q3,41338,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2012-Q4,38033,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2013-Q1,33947,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2013-Q2,35233,,
ESTAT:JVS_Q_NACE2(1.0),18/03/25 11:00:00,Quarterly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),"Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",Total,Number of job vacancies,Czechia,2013-Q3,38353,,
